Subject-id,Name,Subject,Score
"0
",technology_and_connections,Does technology strengthen connections between people?,
"27
",aiprogress,"Do you agree that AI progress is not a natural phenomenon like the Pandemic; therefore, we have considerably more agency rather than taking some preemptive defensive measures?",
"12
",virtual_games,Is the spending on virtual games meaningless?,
"21
",CNforce,Will China use military force to reunify Taiwan in the near future?,
"29
",legalizing_marijuana,Should marijuana be legalized in Taiwan?,
"15
",santa,Does Santa Claus exist?,
"38
",lost_penny,You’re walking down the street and see a penny on the ground. Would you pick it up or keep walking?,
"34
",girlfriend_mom,"If your girlfriend and mother both fell into the water simultaneously, whom should you rescue first?",
"1
",Pokemon_Go,Does Pokemon Go do more good than harm to our society?,
"20
",conservation,"Could the government ethically control stray dogs and cats to mitigate the threat they pose to endangered wildlife by designating certain sensitive"" zones where the feeding of strays is banned?""",
"7
",space_exploration,Is space exploration still important?,
"5
",democracy,Is the best government structure democracy?,
"10
",phy_edu,Should schools eliminate physical education requirements?,
"13
",motor,Should the motorcycle make a two-stage left turn?,
"14
",aa,Should we apply “all averaging” to payments of dating?,
"37
",sex_love,Can sex and love be separated?,
"22
",Mars,"On a planet where you cannot breathe, is living on Mars the best idea?",
"39
",cats_dogs,Which do you prefer to be? a cat person or a dog person?,
"23
",gender_neutral,Should we require gender-neutral bathrooms for transgender people?,
"17
",doraemon,Is Doraemon a harmful or beneficial friend to Nobita?,
